iter	Passed	Remaining
924	3176	257
925	3180	254
926	3182	250
927	3183	247
928	3219	246
929	3223	242
930	3225	239
931	3227	235
932	3232	232
933	3234	228
934	3238	225
935	3240	221
936	3244	218
937	3250	214
938	3253	211
939	3256	207
940	3261	204
941	3264	200
942	3266	197
943	3269	193
944	3271	190
945	3276	187
946	3279	183
947	3281	179
948	3284	176
949	3287	173
950	3296	169
951	3298	166
952	3304	162
953	3309	159
954	3311	156
955	3317	152
956	3319	149
957	3322	145
958	3325	142
959	3327	138
960	3332	135
961	3334	131
962	3336	128
963	3339	124
964	3341	121
965	3345	117
966	3347	114
967	3349	110
968	3351	107
969	3354	103
970	3358	100
971	3361	96
972	3364	93
973	3366	89
974	3370	86
975	3372	82
976	3374	79
977	3377	75
978	3379	72
979	3382	69
980	3391	65
981	3394	62
982	3397	58
983	3401	55
984	3404	51
985	3411	48
986	3415	44
987	3419	41
988	3421	38
989	3423	34
990	3425	31
991	3428	27
992	3432	24
993	3434	20
994	3436	17
995	3440	13
996	3446	10
997	3449	6
998	3455	3
999	3460	0
